word,word_length,unique_chars
timpani,7,6
worsle,6,6
yinst,5,5
grangerized,11,8
matatua,7,4
historiette,11,7
recollection,12,8
cosymmedian,11,10
stink,5,5
sericocarpus,12,9
invertile,9,7
sunswart,8,7
entarthrotic,12,9
hade,4,4
licentiateship,14,10
kailyarder,10,8
cachalote,9,7
basipterygium,13,12
fivetoothed,11,8
decompositional,15,12
wreaks,6,6
peterwort,9,6
implosion,9,7
esdi,4,4
trouserdom,10,8
triglyphal,10,9
bida,4,4
esmayle,7,6
slopping,8,7
noumea,6,6
pococurantism,13,11
overmixes,9,8
cadis,5,5
dedendum,8,5
epiderms,8,7
serenissimo,11,7
reviviction,11,8
mitchellsburg,13,12
insistency,10,7
international,13,8
thousandeyed,12,10
pinivorous,10,8
tyrolean,8,8
reelevation,11,9
hammerproof,11,8
koshkonong,10,6
photostereograph,16,9
furphy,6,6
sarver,6,5
simoniacs,9,7
plantaginales,13,9
urolithology,12,9
selfadmirer,11,9
electrifier,11,7
sep,3,3
durio,5,5
vitalising,10,8
steelification,14,10
berries,7,5
basenji,7,7
shorttwisted,12,9
laconicalness,13,8
overimbibing,12,9
resublimated,12,11
celeb,5,4
bukat,5,5
cannibality,11,8
quincy,6,6
tafilelt,8,6
aviatrice,9,7
varnished,9,9
semihuman,9,8
culation,8,8
jarp,4,4
canticle,8,7
tetradactyl,11,8
unafflicting,12,9
coachbuilt,10,9
theatricalize,13,9
salary,6,5
pigroot,7,6
quotum,6,5
cloudlessness,13,8
bequeathed,10,8
eyah,4,4
barbarizes,10,7
unionism,8,6
ephemerally,11,8
disulphide,10,8
nurtures,8,6
narcissuses,11,8
transparentize,14,9
elicitors,9,8
birostrated,11,9
habitable,9,7
meilen,6,5
phallaceous,11,9
intervital,10,8
consecutively,13,11
ballmine,8,7
succumbers,10,7
homocycle,9,7
fishfeeding,11,8
fullcrown,9,8
reedificate,11,8
heelball,8,5
bestrowed,9,8
brookland,9,8
latening,8,7
anopisthograph,14,10
cicatrice,9,6
curlier,7,6
nonsubmission,13,7
slammed,7,6
schuler,7,7
flammulated,11,8
canadol,7,6
poundage,8,8
hematologies,12,10
backraking,10,8
guaiacums,9,7
vestigal,8,8
phenic,6,6
theraphosid,11,10
aelurophobia,12,10
mdlles,6,5
syntectical,11,9
wysiwis,7,4
cuttles,7,6
enumerably,10,9
inquisitively,13,10
ashien,6,6
herbergage,10,6
breadman,8,7
discerption,11,10
yatesville,10,8
creosol,7,6
stammbaum,9,6
epulosis,8,7
highborn,8,7
hlidhskjalf,11,9
formalisation,13,10
superimposable,14,11
approximating,13,10
adoptious,9,8
kinny,5,4
ilmarinen,9,7
deke,4,3
dyann,5,4
tosaphoth,9,6
albicant,8,7
spunks,6,5
benzinduline,12,8
perfusion,9,9
economese,9,6
transpositions,14,8
unanimiter,10,8
himp,4,4
interveined,11,7
airbrushing,11,9
supermediocre,13,10
mcclelland,10,7
foreclosable,12,9
loosepanicled,13,10
nonempathic,11,10
icecapped,9,6
merozoa,7,6
uncrinkled,10,9
floe,4,4
archiereus,10,8
quadritubercular,16,11
acquisitions,12,9
superinscription,16,10
synechia,8,8
akhisar,7,6
aminophylline,13,10
experimentalize,15,11
devouringness,13,10
laryngometry,12,10
guidable,8,8
frabbit,7,6
haematocyte,11,8
periselene,10,7
impuberal,9,9
golfs,5,5
actinidiaceae,13,7
huntertown,10,8
interepithelial,15,9
myocyte,7,6
mechanicalness,14,9
abjudicating,12,10
campy,5,5
dago,4,4
del,3,3
sidekicks,9,6
mutwalli,8,7
development,11,9
persuasibility,14,11
vinaigre,8,7
lipotrophy,10,8
wiggins,7,5
zoogloeal,9,6
duckhouse,9,8
eleutherophobia,15,11
adapts,6,5
secy,4,4
feltwort,8,7
testaceography,14,11
waterinch,9,9
chrisroot,9,7
parasitic,9,7
nondiscernment,14,10
canistota,9,7
disemboguement,14,11
melisseus,9,6
imputableness,13,11
maranham,8,5
milzbrand,9,9
mesoskelic,10,8
hellcats,8,7
impersonates,12,10
idlesse,7,5
requeen,7,5
weathertanned,13,8
nonpresence,11,7
reddabbled,10,6
sending,7,6
casuarina,9,7
deliberates,11,9
embracingly,11,11
beflout,7,7
scalpra,7,6
postcolon,9,7
diadems,7,6
eventide,8,6
mocoan,6,5
ophionid,8,6
itinereraria,12,6
goosestepped,12,7
asiden,6,6
surgerize,9,7
saddhu,6,5
welchman,8,8
winestained,11,8
transferrins,12,8
subjectiveness,14,10
crownlike,9,9
carifta,7,6
abbas,5,3
buhlwork,8,8
quasienergetically,18,13
tienda,6,6
nucleal,7,6
moothouse,9,7
duded,5,3
boabdil,7,6
thronelet,9,7
oran,4,4
anaphorically,13,10
anaglyphy,9,7
overrisen,9,7
overused,8,7
cassiopeiae,11,7
preconceal,10,8
multitudinal,12,8
fleabags,8,7
cuartino,8,8
beylical,8,7
twelfthday,10,9
millimicron,11,7
southeastwardly,15,12
triandrous,10,9
suction,7,7
heartbeats,10,7
hyte,4,4
understrife,11,9
uroscopic,9,7
wistfulnesses,13,9
accessorily,11,9
cobblestones,12,8
redisplayed,11,9
pointy,6,6
coathangers,11,10
scerne,6,5
jakop,5,5
decubiti,8,7
enteropneustan,14,9
martineta,9,7
dindles,7,6
displaced,9,8
wabbly,6,5
rene,4,3
academicism,11,7
hang,4,4
lasiocarpous,12,9
huneker,7,6
horizontically,14,11
unelectrized,12,10
rachiococainize,15,9
electrobioscopy,15,11
virologically,13,9
pegador,7,7
overbeetling,12,10
inhibitable,11,8
recliners,9,7
cyclizing,9,7
sibilation,10,8
driftnetter,11,7
characteries,12,8
duv,3,3
gulps,5,5
highcamp,8,7
zenaidas,8,7
pahouin,7,7
takeo,5,5
strumpets,9,7
trimorphism,11,8
kenleigh,8,7
daffadillies,12,7
exarchy,7,7
foldure,7,7
undivergent,11,9
pigweeds,8,7
filopodia,9,7
semitime,8,5
framework,9,8
vermiparous,11,10
beachhead,9,6
rumgumptious,12,9
overmedicated,13,10
neednt,6,4
demonophobia,12,10
unexposed,9,8
respectably,11,10
doucker,7,7
bonnell,7,5
anaphora,8,6
manuevered,10,8
synopsise,9,7
leuckartiidae,13,10
monopodium,10,7
signior,7,6
facepiece,9,6
dastardliness,13,9
pledgee,7,5
jenni,5,4
nonappendence,13,7
presecure,9,6
dunkling,8,7
parking,7,7
standi,6,6
lacertoid,9,9
encephalosepsis,15,10
bodrage,7,7
subtiliation,12,9
uniaxal,7,6
beglerbegship,13,9
cindi,5,4
microgametocyte,15,10
dehydrate,9,7
interpupil,10,8
jumpy,5,5
rushgirt,8,7
accidential,11,8
redissolvable,13,10
opiniative,10,8
hordarian,9,7
twiceoverthrown,15,10
bizygomatic,11,10
uninfectiousness,16,9
deploitation,12,9
uninsulating,12,8
stuffiest,9,6
commiserative,13,10
nonirrational,13,7
filmet,6,6
dermol,6,6
slashsawn,9,6
emeries,7,5
deformism,9,8
parellic,8,7
chandelier,10,9
bodine,6,6
pollinating,11,8
twocircle,9,8
plumach,7,7
handbills,9,8
brendin,7,6
erceldoune,10,8
satori,6,6
specialness,11,8
ethmolith,9,7
outservant,10,9
protid,6,6
turfclad,8,8
splenoid,8,8
urna,4,4
xyletic,7,7
pulsating,9,9
tune,4,4
epitomized,10,8
spiketail,9,8
makhorka,8,6
sawfish,7,6
introfier,9,7
cosmonautically,15,11
darrin,6,5
intertwinements,15,8
normalize,9,9
lamus,5,5
paragastrula,12,8
forerib,7,6
turnkey,7,7
wrothe,6,6
penthesileia,12,9
palm,4,4
handshaking,11,8
encompassed,11,9
hearken,7,6
wilning,7,5
coldpress,9,8
slinging,8,5
overburnt,9,8
selftesting,11,8
selenographic,13,12
obfuscates,10,9
cllr,4,3
roquefort,9,7
infume,6,6
prelumbar,9,8
vereins,7,6
gulleting,9,7
ovulates,8,8
enamouring,10,9
materialists,12,8
cheesewood,10,7
upwrap,6,5
siluroidei,10,8
jacquelyn,9,9
gushes,6,5
manlove,7,7
unapplied,9,8
unopulently,11,8
bottleo,7,5
headlands,9,7
mandoline,9,8
singleshot,10,9
lugnas,6,6
selflaudation,13,11
plumular,8,6
pestilenceweed,14,10
show,4,4
parathyroidectomies,19,13
scuffing,8,7
ungouty,7,6
richmonduponthames,18,14
knuckler,8,7
glaky,5,5
firehoofed,10,7
scorpaenidae,12,10
periodize,9,7
counterblockades,16,13
chanties,8,8
orphically,10,9
crappiness,10,8
securities,10,7
confirmed,9,9
inexperience,12,7
grizzles,8,7
noncaustically,14,10
squalidity,10,9
humific,7,6
premier,7,5
prebasal,8,7
charry,6,5
somerseted,10,7
ontic,5,5
carcerist,9,7
nonbreach,9,8
zizany,6,5
threadworn,10,9
presets,7,5
midtarsal,9,8
lamenting,9,8
interlap,8,8
shavuot,7,7
einar,5,5
skepticized,11,9
arianne,7,5
creepier,8,5
piercy,6,6
numero,6,6
pandoridae,10,8
fibrously,9,9
bything,7,7
levier,6,5
lowwater,8,7
oversigned,10,9
unchoke,7,7
ephorship,9,7
wrinkling,9,7
vulvar,6,5
pinochle,8,8
selfglorified,13,9
quinquevalence,14,9
presidio,8,7
wei,3,3
checkerwork,11,7
tabooley,8,7
freemasonic,11,10
naturality,10,8
gentlemanusher,14,11
pessimize,9,6
mullerian,9,8
cobrahooded,11,8
fantasticalness,15,9
psychorrhagic,13,10
impostors,9,7
crimelessness,13,8
curdier,7,6
caricatured,11,8
euphuistical,12,10
wordseller,10,7
niffers,7,6
nonethnical,11,9
pilum,5,5
burrel,6,5
custodian,9,9
liebeslied,10,6
lexicologic,11,7
bigamistic,10,8
sleech,6,5
cystostomies,12,8
gise,4,4
ropery,6,5
candra,6,5
lightnings,10,7
questhouse,10,7
ovalness,8,7
antileft,8,7
flatfoots,9,6
lithium,7,6
swak,4,4
antioch,7,7
scapolite,9,9
canonised,9,8
semises,7,4
proyugoslavian,14,12
tillerman,9,8
entanglements,13,8
crotalum,8,8
karlise,7,7
soberheaded,11,8
convolve,8,6
stereoplanigraph,16,12
retributed,10,7
nonmutably,10,9
obrotund,8,7
gambolled,9,8
yummiest,8,7
kenned,6,4
pelves,6,5
outcountry,10,7
eimeria,7,5
subserviency,12,10
palaeogenetic,13,10
refines,7,6
plowstaff,9,8
audaean,7,5
ghettoization,13,9
agaricin,8,6
padina,6,5
excrementitial,14,10
nongenetic,10,7
siderographical,15,12
prescriptiveness,16,9
snyaptic,8,8
hygiastics,10,8
unmenstruating,14,10
praya,5,4
guapore,7,7
rottenhearted,13,8
hagdin,6,6
envenomation,12,8
gurnetty,8,7
sweatily,8,8
childward,9,8
overdelicateness,16,12
marvelling,10,9
vibratory,9,8
briefless,9,7
sploshing,9,8
preinvestigate,14,10
inalterable,11,8
cellarets,9,7
reinforce,9,7
phenomenalistic,15,12
verda,5,5
streptoneura,12,9
niobite,7,6
lynnfield,9,7
firechaser,10,8
unwillfully,11,7
antesternum,11,8
elllong,7,5
anisopogonous,13,8
video,5,5
sweetsounded,12,8
twiggy,6,5
